overall,reviewText
5,"Looks good.Build quality is good and good grip.All buttons working well (checked on gamepad tester website, don't forget to check if joysticks are pressable) and pressure triggers are also good too , And motors works well good vibration feedback.Got 10feet cable which is very useful and  a headphone jack port ,nice.Rs.3299 on prime day sale.Controller is good for casual gaming but choose keyboard+mouse for competitive gaming.Good gaming experience.Read more"
5,"Value for money,All functions work properly,Best Design,buttons,Analog, AmazingLittle bit costierBest for Gaming pc windowsHighly Recommended...Read more"
5,Was that this is worth it looks of the controller is bestRead more
4,There is not much different between the low range price...I have three Power A controller...Read more
5,I love the free pickaxe with the controllerRead more
3,"This controller started having stick drift within 10 days of purchase. It's disappointing, i paid something around 3300 for this. I contacted PowerA for warranty, their single response through an email takes a month.Read more"
2,It is not working properlyRead more
5,Good quality.Read more
5,Used for 1 day it's good and all variations are good in this lightning arc controller and two extra button on back side of the controller it is super we can map the keys it is helpful for effective game play in games and I will update any problem comes and how much days it last longesRead more
4,"It was all nice but there are missing minor issues which can be negligible for some but not for the many if im paying 2-3k I'd definitely expect it be perfect in the sense of main switches atleast. I was pretty satisfied after purchasing it but after realising LB and RB aint functioning properly i aint, you had to press it so hard to work and it still doesn't work manytimes even after doing thatRead more"
5,"This is almost similar to the official controller.It has very good premium features which are not available in other non-official controllers.The RT and LT buttons have resistance. For example when you're playing a racing game and you take a turn or something, you'll feel the button resisting which is such a good feature. Makes the feel more realRead more"
5,Perfect for your Xbox One X/S consoles. Provides flawless performance and is completely legit. Had zero issues with connectivity. Wire length is also adequate enough for you to sit 10ft apart from the TV and play.Read more
5,Good quality. Can’t really complainRead more
4,"So good, and cute too! The white rubber of the LS and RS gets dirty pretty fast though with regular use.Read more"
1,"The product looks good, only looks good. The product i received has connectivity issue, frequesnt disconnection, one of the button was not working, seems like seller knowlingly send the defective piece.Read more"
5,Its legit. I had my suspicion at first but got the subscription as gift card/voucher on email under 30 minutes after purchase. The only benefit purchasing from amazon is you save on gst.Read more
5,"It's convenient this way, without headache of managing Autopay when you're not using your console.Read more"
5,Pretty neat you save taxes i.e 200-300Read more
4,Iit worksRead more
5,good. go the code in 1 hourRead more
5,Got the code in 30 minsRead more
5,GoodRead more
4,Got delivered pretty fast via mailRead more
5,Arrive 30 minutes late but working. Thanks Amazon…Included all benefits and Fortnite crew subscription.Read more
5,amazing. price increased a lot since i stopped buyingRead more
5,"This is the best. Very good and got the code in a min, very good game pass.Read more"
1,Doesn't work and no refund option no chat option money wastedRead more
5,Superb workedRead more
5,Worth every rupee.Read more
5,Instant Delivery!!! Activated the codeRead more
5,Got on time.  Redeemed and satisfiedRead more
5,"Great product, no need for buying batteries againRead more"
5,This is good product for my Xbox series x controller the power is long lastingRead more
4,"Updating my review after using the product for a while. The battery charging issue usually happens due to wrong chargers. It doesn't charge well with a fast charger or when I connect with my Xbox. However, when I used a basic 5V 2Amp charger, then it worked well. Battery easily lasts for a week. Decent buy.Read more"
5,Works well.Read more
5,"Very good product, why cause the producer you know 'Microsoft' and their build qualities one of the best and wire quality is very much good then other third party retailers.Read more"
1,Battery doesn't hold charge just after 2 months of usageRead more
5,Loved this for my controllerRead more
5,⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️Read more
5,"5/5 — Meta Quest 3S Xbox Edition: Absolutely Worth It!I received my Meta Quest 3S Xbox Edition yesterday, and I can confidently say this is one of the best purchases I’ve made this year. The moment I put it on, I was completely blown away. The virtual reality experience is stunning—incredibly immersive, smooth, and far better than I expected. It honestly feels like stepping into another world.The spatial sound is fantastic and adds so much depth to the experience. You can literally feel where things are coming from. And the haptics? Amazing. They give every interaction that extra layer of realism that makes gameplay feel more alive.A huge plus was the bundle: I got 3 months of Xbox Game Pass Ultimate, along with the Horizon Plus subscription, which made the value even better. Having access to such a massive library of games right out of the box takes the whole experience to another level.Overall, the Meta Quest 3S Xbox Edition has exceeded my expectations in every way. If you’re on the fence—just get it. It’s totally worth it.Read more"
3,"Product is good where as Xbox cloud gaming is not supported in india, we cannot play game until VPN is installed and it's not that easy to install VPN also almost impossible, good product worst service form Meta nd coRead more"
5,"The Meta Quest 3s Xbox Edition is a perfect blend of VR and console gaming. The Xbox colorway is easily one of the best-looking headset designs yet sleek and premium. The included 3-month Game Pass is a great bonus, though Xbox Cloud Gaming isn’t officially available in India. With a VPN, you can still enjoy streaming Xbox titles without issues. Overall, a stylish and smart package for gamers exploring both VR and Xbox ecosystems.Read more"
4,"Box came in a very bad shape, but everything seems pretty nice, even though delivery got delayed by 1 day.As others have mentioned that they are unable to redeem XBox code, just visit Xbox support chat, and share the details with them as its a USA code, it wont work in India, they will manually activate subscription from their own end, to your accountRead more"
1,Sir unable to access the 3months xbox passRead more
1,"Unable to return refund and replace,3 months pass not able to redeem,Other quest 3 3s are more betterRead more"
5,Good controller i bought for my laptop its best for windows connectivity and everything no lag nothing just connect and its work smoothly if you want steam less experience then go for itRead more
5,"Product is good but the free one month gamepass shared do not works. Seems the seller might have used the code. The package seal was broken, but the disk is working good.Read more"
5,"Best looking HDD? Probably. Also, you get a month of Xbox Live Ultimate.I can store and move around multiple games instead of downloading the titles again.Read more"
5,Thanks to this external drive I am able to fulfil my gaming experience having tons of games offline available to play anytime. It still take 10min to move games from here and there so keep in that mind. Moving the games not required if games does not require fast storage to play.Read more
4,"absolute superfast gaming HDD, max speed is 130MB/s, compactible woth Windows 10 🪟, and that green led bar is just wow. i got instant bank discount + diamond offer 💎 and great indian festival combined in a huge cashback.Read more"
5,Working is goodRead more
5,Worth it. Need to transfer x/s games to internal storage to play.Read more
5,Liked it.Read more
1,"This is a classic case of a product being mis-sold with reviews being clubbed with a Seagate expansion card to mislead customers. This is the same as any other hard-drive. The Xbox Series S/X works with any, I repeat ""any"" USB 3.0 HDD with more than 128GB in capacity.Even after buying you would not be able to directly install games of Xbox Series S/X and need to keep moving them back and forth to the onboard SSD. Disappointed.Disclaimer - I did not do my own research before buying this and am suffering the consequences. There are plenty of YouTube videos that show you how you can use any old HDD lying around at home so don't make the same mistake as me. Product is also non-refundable so boom, waste of money :( Oh well atleast now I have more space for my media and game streaming requirements ;)Read more"
5,Codes were genuine & received within 2 hours.Read more
1,Buy JIO plan its chipper and no limitations of games. In essential game pass most of the game doesn't workRead more
5,First time buying this. Was a bit paranoid but it worked well.Read more
5,best item for gamingRead more
5,Working as expectedRead more
1,WRONG DISCRIPTION IN PRODUCTRead more
5,No complaints. Works perfectly fine and I received the code within 1-2 hours from ordering.Read more
3,Good for the priceRead more
5,"This controller offers seamless compatibility with both Xbox Cloud Gaming and Jio Cloud Games across mobile and laptop platforms, featuring versatile connectivity modes for various gaming consoles. For individuals seeking an Xbox cloud gaming controller, this option presents an optimal balance of performance and value.A key advantage of this controller is its exceptional battery life, providing approximately 10 hours of gameplay on a single charge, which is a remarkable duration. Furthermore, it boasts a rapid charging capability, reaching full capacity in just two hours.Read more"
4,the connecting system is so complicated i had connected this on my phone but the app v3 i installed and after mapping the keys it didn't work press the keys during the game doesn't work.Read more
5,"I ordered it's really worth it omg this antsports gp325 model game controller is angel really it's showing xbox 360 controller detacted when it's pairs & it's really all in one ps3,4&5 Android xbox xbox cloud jiogames cloud everywhere working I tested personally both ways it's working with wire type c attach & with Bluetooth wireless modes it's really solid but two steps compulsory I observe when pc connection matters you need type c cable connected pc usb to controller than you have to Bluetooth pair with pressing B button stand for Bluetooth + Home button on game controller for wireless controller than yours controller vibration now yours controller connected successfully in xbox games it's show xbox 360 controller really great & affordable price product just 1300/- rupees I think don't waste money for original xbox controller it's prices starting 4000 to 6000 rupees I'm happy with this product thanks Amazon team and special thanks to antsports company.Read more"
1,Ot working with MI android tvRead more
5,Very well controller for Android it's very usefulRead more
3,"Got the controller and I wasn't expecting much from a cheap brand and they didn't disappoint me. Got the broken seal product with a transparent tape on it but I didn't replace it because, it was working fine(if you get a broken seal product please replace it). Is it worth 1500? NO. Should be around 1100.So let's come to the controller,• so THE D-PAD IS BAD really bad it's okay if you do 4 direction but diagonally it's no no• Too many Combination to make it work makes it confusing for avarage plug and play person (look for the manual if you having problems with this controller•R/L triggers( L2/R2,LB/RB) Is just buttons no sensitiv presure, means bad for shooting and racing games•Claw is cheap don't expect much just does it's jobThat's it, i bought this controller only for emulation if you're looking this controller for the same reason, i would suggest go with evo fox controller but if you're under budget it's a choice (but not the best) and if you're looking for console gaming or pc buy a better controller.Read more"
5,"Asusal controller not working for xbox cloud gaming. First I bhought Gp320 RT, BT , Right stick is not working. I don't know is because bluetooth. Anyway .New review it's works when you PC mode.Bad instructor manualHome + X is correct for xcloud  gamingRead more"
4,Good one...buttons are also good.....mobile holder is helpful for playing as wellRead more
1,Very bad too expensive premium cost only 700 rupees thats why not worth it and very bad deal for gamepassRead more
5,"In good condition and awesome design. Delight to maneuver , rubber grips.Read more"
5,Works good and looks good. 100% recommend itRead more
1,"trash controller with no Hall effect, dont go for it. wont recommend this. there are more better controllers which wont get stick drift if they have Hall effect.Read more"
5,"Thank GOD I decided to upgrade from all those garbage 3rd party controllers, especially Power A. The OG Xbox controller is just perfect.Read more"
5,EnjoyingRead more
5,What can I sayI like the looksI like the functionalityIt works just fineWorth the buyRead more
4,"Why did you pick this product vs others?:The Xbox controller itself is excellent - responsive buttons, comfortable grip, and smooth connectivity.However, I'm giving 4 stars instead of 5 because the box was slightly damaged on arrival. Luckily, the controller was untouched and working fine.Read more"
5,GreatRead more
5,The controllers are amazing with very good haptic feedback. I love playing Fifa and F1 with this on my laptop.Read more
3,The Triggers get stuck without much extensive usage.Read more
5,Great product for games lover  🎮 🤌✨Read more
5,"A really well-made product. It's sturdy and heavy, giving you a premium feel. Being wireless is a plus, as you don't have to be wired up all the time. The additional programmable buttons let you go all-out in your favourite games. The battery backup is good, as well. I have accidentally dropped the controller a few times, and there is no noticeable damage. In conclusion, a really good product at an affordable and worthy price.Read more"
4,it's a very good controller with hard and steady plastic build quality is very good. only one issue that is drifting. other wise best controlRead more
5,"Gives just the right amount of battery backup. Been using it since 1 year and really like the extra buttons it has to improve my gaming experience, the vibration is strong but i think it is omitted sometimes in some games. I use the dongle for the connectivity and the latency is barely noticeable. And yeah most importantly looks so cool with its texture and dragon design and the light just at the dragons' eye.Read more"
1,"USB and RF modes work fine. Bluetooth mode works only with D-input. The games I tried so far didn't work with some jumbled key bindings only. Not sure if there is a way to change the Bluetooth mode to X-input.Apart from that looks nice and comes with long rubber covers for the sticks.Works with ""PowerA PC HQ"" Windows app. Mappings can be changed from there.No rubber grips, so it slips a bit.EDIT:Some games don't detect USB or RF mode as well.Using XOutput software works on all modes.The screen capture button does not work at all.EDIT 2:Made with cheap quality plastic, the stick broke from the inside in 4 months.Poor customer support, waiting for a replacement for about one month. they just keeps closing the ticket and create new ones, and phone number they shared to know status of warranty replacement is always switched off.And ACCO doesn't even manage pickup in Gurgaon, I had to parcel it myselfRead more"
5,Little bit expensive but goodRead more
5,"So i am using this controller for about two months. I have used many controllers so far this is the best one.. Yes there are some issues with the controller like:- there are drift issues when you check on controller tester and error rate is also high for controller with the price. But to be honest no issues in gameplay i have tried it with many games. Hall effect sticks feels and feedback is really good.- Vibration feedback is not even, like right vibrator moter has a low frequency and left moter is more powerfull which feels off in starting. But now it feels great.. vibration feedback is so good and premium like you can actually feel machines footsteps in horizon forbidden west.-built quality is premium.-button quality and micro buttons feels great.-adjustable triggers are very useful.- only draw back is you cannot map combos in macro button.4.5/5Read more"
4,This PowerA battle dragon is very goodRead more
5,"Commendable delivery by amazon, item got delivered in perfect condition within a day, trust me their service is so much superior compared to other services who use third party for logistics.As for the product , it exceeded my expectations.Feels very premium it has hall sense sticks which even premium controllers don't use.It comes with a usb dongle and usb type c cable and a pair of grips for sticks.I couldn't test the bluetooth mode but wireless mode through dongle worked flawlessly.I bought this for playing casual games and it turned out to be more than what I expected.The only minor issue i faced was during testing the left stick showed very little drift behavior don't know why it was very subtle though,  but after calibrating it i didn't see it.Definitely go for i, t quality and build feels premium which is the most important thing for a good experience.Read more"
4,A decent ac with wifiNo current room temperature displayRead more
5,Excellent AC. Super and quick cooling. Wifi connected and works perfect with MirAIe app. Got 6 years warranty as well. Trusted heavy duty Panasonic brand. Remote comtrol could have been a little big. Too tiny.Read more
1,It’s not cooling properly for some reason :/Read more
4,Good product. Especially the application is very good. Works well with alexaRead more
5,Good productRead more
1,"Low price, but hidden costs in terrible service.This is my third experience with Godrej, and unfortunately, it has been just as pathetic as the others. I initially chose them because of the lower price range, but I ended up losing that ""savings"" on service costs after the first year.The service center and third-party technicians are unprofessional:- Zero Punctuality: They never show up on time. You have to chase them for one or two weeks just to get a single visit.- Lack of Skill: The technicians are unprofessional and often lack even the basic knowledge required to fix the issue.- False Economy: While you might save ₹10k or ₹15k upfront, you will likely spend that exact amount (or more) on repairs and maintenance once the warranty ends.The Bottom Line: Save yourself the headache. It is better to pay more for a reliable brand upfront than to deal with the constant stress and technical incompetence of Godrej’s after-sales service.Read more"
4,Ac is good but installation the asking 2k. But other brands the doing freeRead more
5,Good coolingRead more
1,"Product is fine but the after sale service is very bad, the copper pipe that comes with the compressor was missing. The installation engineer had to inform me for return as the items were missing, but he decided to install it anyway and expected me to fight with amazon for extra copper pipe price that was 2500 and ask for refund from amazon. I did called amazon many times and they told me to return the product which was already installed by the engineer.Requesting for service is also not that easy too. I had to wait for 30-40 mins so that some executive could pick my call (it was 10 am on tuesday not even a weekend or some holiday) and after that they told me you have not registered the warranty on the website that no body informed me about.Read more"
5,Good productRead more
5,GoodRead more
3,Cooling is very less. Only will be good if room is below 70 sq. Ft. Also if your room has direct sunlight on top this won't be good enough. I bought for a 110 sq ft room by mistake and not sufficient. Even leaving out room size the cooling of the air that comes from AC is not good comparing other brands.Read more
5,"The packaging of the product wasvery good .it was from the latest batch , April 2025,. there was no dent no damage to both odu and idu. The cooling is awesome.it is working silently.There was a slight hiccup with installation which was resolved by customer care in a jiffy.The voltas service centre is  some two kilometres from our house they came immediately and installed  it.the charge was 1500rs and for stand ,825including installing it.  The already existing stand was some what rusted so it was i who insisted in changing it .Every thing  was good 👍.It is absolute value for money as i got in festival discount.Now what I am going to write has nothing to do with Amazon not the sevice centre .the chief technician  some how convinced me with this and that and took  away my  old voltas 1.5ton ac which was in workable condition for 2.5thousand.But of course the installation was very good.Performance  of ac is goodI bought voltas because the old ac which i had was also voltas and the service centre would attend a complaint on the same day.Read more"
4,Product is good and sufficient for bedroom. But the pathetic experience with installation I ll share. In the box Copper pipes were missing. My technician has called and he guessed that for voltas AC pipes are missing in package as he faced same with other customer orders of same voltas AC.And yes the pipes are missing. I called amazon and they said only 3200 will be given. I struggled to get this doneRead more
1,Item is fine...but DON'T book from Amazon...the installation charges are more if ordered from Amazon (1500 + GST) as compared to if bought from store (800 + GST).Plus Voltas has 3rd party service centre we got assigned to Ample Sevices they charged additional cost for everything even to put tape on copper pipe which is already having a layer...extra 200/- for everything else even if you have bought plug and drainage pipe.. No after sales support..VOLTAS customer care don't address any concerns related to this.Read more
5,"Product is good but installation service is bad  , unnessary adding money also fixed ac in wrong location.Read more"
5,"I recently purchased a new 1.5-ton air conditioning system for my 10x15 ft room, and I am thoroughly impressed! This AC is absolutely perfect for the room size, providing rapid and efficient cooling. Within a short time, my room transforms into a comfortable oasis, which is exactly what I needed.At its price point, I wholeheartedly believe this AC offers exceptional value for money. It strikes a fantastic balance, delivering powerful cooling without burdening you with unnecessary ""smart"" features that often inflate the cost and aren't truly essential for everyday use. For those seeking a budget-friendly option that doesn't compromise on core performance, this is an excellent choice.The installation process was surprisingly smooth and hassle-free, which is always a relief with new appliance purchases. However, it's crucial for prospective buyers to be aware of the installation costs. The base installation fee is ₹1500 + GST. Be prepared for additional charges for extra components that might be required, such as an outdoor unit stand, extra water drain pipes, or additional copper piping. These aren't included in the base installation, so factor them into your overall budget.Finally, while the company might claim the unit is stabilizer-free, I strongly recommend investing in a voltage stabilizer for added safety and to protect your new appliance in the long run. It's a small additional investment that can prevent potential issues.Overall, if you're looking for an efficient, no-frills, and budget-conscious air conditioning solution for a similar room size, I highly recommend this unit. It delivers on its promise of quick and effective cooling, making it a truly smart purchase.Read more"
5,Installation charges is high 1650 in cityRead more
4,"I’ve been using the Voltas 1.4 Ton 3 Star AC for the past 4 days, and I’m quite happy with its performance. It cools my 180 sq ft room within 15–20 minutes, which is pretty good. The Eco mode at 24°C is very useful and helps in reducing power consumption.The AC is not very noisy, which makes it comfortable for both sleeping and working. One small thing to keep in mind is that the horizontal swing (H-swing) has to be set manually — it doesn’t move on its own. That’s fine for me, but it’s good to know.Also, the company doesn’t provide an outdoor unit stand, so you’ll need to purchase it separately from the installation technician.Overall, a nice and affordable AC with solid cooling performance for medium-sized rooms. Good value for money!Read more"
5,"I am trying to summarise this in few points:-1. This one is my 3rd AC in my apartment, and first from Daikin, that to from online platform (previous ones were from Hitachi). I shall suggest go for an window AC for its sheer longevity and ease of use and service. But if not possible then go for split unit and Daikin is a fair choice.2. This one is for my one of my kid's room of 105 sqft. The IDU and HDU is very sturdy for its price reference and relatively large in size and can be compared to an 1 ton AC.3. It's a non inverter AC thus, compressor doesn't work all the time and less fault prone without the PCB and electronics, still very energy efficient. It consumed ~4 units for 11 pm to 6 am operation yesterday. It cools the room within 10 minutes.4. Their Installation charges are quite steep but Daikin sent me a rate chart in advance. Technician Adil was efficient and humble and done a good job. Unlike other brands In Daikin the power goes to HDU first and a 4 core wire comes back to IDU. So please keep in mind that, this wire is completely chargeable over and above Installation charges.Read more"
5,"Have been using this AC for two years n writing the feedback. Daikin AC is excellent with performance, low noise n efficient power bill. I'm using .8 ton AC n that cools our 120 sft room within 5 mins. Excellent product n good TCO. Only negative was the delivery by Amazon guys that dropped the compressor box n dented. Had to knock n set the compressor box for the fan to rotate. Poor n careless delivery by Amazon delivery!Read more"
4,"AC is good with fixed speed and minimum latest features. However, the service team is very bad. After 1yr they called ffor regular maintenance at 300/- and read a long list of activities. But the person who came for the work just filled the white cement purchased by me and checked gas and charged 300/-. Daikin team please check all these useless service people because product is of good value, but these creepy people will spoil your reputation.Read more"
5,"Pros:Good single speed AC. Cools room quickly. Being single speed, will go on/off like usual window AC.Pricing is apt. For the features providedAC outdoor unit runs very quiet.The indoor is a bit noisy. But when kept on coanda flow, it won't make much noise.Like other ac, the remote has a few keys lit for use in dark.Installation team did a very good jobCons:There is no display on the idu, but it doesn't matter.Plastic quality of idu is very poor.Not sure about protection coating or material of condenserInstallation is a bit expensive, but material and parts used are good quality.Support from Daikin and local installer could be better.Other points:Installation costs anywhere between 3 to 4kCopper pipes and water outlet pipe are provided. They are insulated with good material. But it won't be enough for proper installation.No batteries are provided for remote.Idu size is small, which is a good thing for me.Inside idu, the air flow can be set to go in two directions. But no horizontal swing.Read more"
1,"Product was best  and cooling also good butDaikin has tieups with local service provider for installation and services of the product, and the staff they have are very unprofessional and Idiots, we Buy a whole product from Daikin and then we have to pay for the installation charges separately i.e 1770 incl GST, The service provider won't provide you GST invoice even if you ask them they will just ignore, The service executive they've sent to my place were so unprofessional the way they have installed the AC would blow your mind, the only motive was to complete the installation asap and pin on the wire of timer antt, because of that they damaged the new switch board which I had installed for the AC, when asked about the Same they said ""Pehle se Tuta Hua tha"".....if you are living in Andheri Area and you buy Daikin, you will get this third class service provider, Named :SWASTIK ENGINEERING, they call them Daikin authorised (My Foot), with every step these people will demand money and extra money, very high prices for each and everything they add in the installation, if you compare the price and quality to the local shops there's a lot of gap, Daikin charges 850/MTR for Copper pipe, Local shops charge you 300/MTR, and still the quality of insulation etc is much better than these people...on every step they just want to eat pennies and don't want to provide service professionally...Now coming to The AC.This time I have raised a complaint about the AC (Indoor Unit) making too much Fan Noise, again i received a text message saying that swastik engineering is assigned for the complaint, no one from swastik called and asked about when to send the technician, Early morning 9 am the technician starts calling and i wasn't available at that time...when I asked them to come so they said ""Aaj nahi hoga kal aaenge"" next day no one showed up and yesterday I have received a complaint cancellation message (Daikin Customer, Cancellation proposed for Ref. MUM1105202442367700, Appointment more than 7 days, if not agree pls notify within 48hrs to Call Center.) who the hell proposed thecancellation?.....I am Done with These Senselessand unprofessional brands, now I won'trecommend Daikin to anyone as I used to doearlier, JUST BECAUSE OF THE AFTER SALESSERVICE.Read more"
5,Good product and satisfied with installationRead more
5,.8ton is sufficient for my small study .Read more
3,The installation kit was not in the boxRead more
5,ExcellentRead more
5,When enquired about this Remote in the company service center they said this would cost me around 3k.This is a brilliant find and almost gets by job done in less than 500 rupees! Really worth it.Thank you!Read more
5,Same remote as original...keep buyingRead more
5,"Very nice product must try it once, it has warranty and user friendly. Easy to carry and modern. Very good productRead more"
